SCORES_TXT_BEGIN_0 0 47 9 BLEU
8 11 6 10 5 9 4 8 8 
7 9 3 8 1 7 0 6 8 
7 9 4 8 3 7 2 6 8 
8 11 4 10 3 9 2 8 8 
7 9 4 8 3 7 2 6 8 
7 11 5 10 4 9 3 8 8 
8 9 5 8 4 7 3 6 8 
7 10 4 9 3 8 2 7 8 
8 9 4 8 1 7 0 6 8 
8 11 5 10 3 9 2 8 8 
7 12 4 11 3 10 2 9 8 
7 12 4 11 3 10 2 9 8 
7 12 4 11 3 10 2 9 8 
7 12 4 11 3 10 2 9 8 
8 9 5 8 3 7 1 6 8 
7 7 5 6 3 5 2 4 8 
8 10 6 9 5 8 4 7 8 
7 10 3 9 1 8 0 7 8 
6 9 3 8 1 7 0 6 8 
7 11 5 10 4 9 3 8 8 
8 9 4 8 3 7 2 6 8 
8 9 4 8 2 7 1 6 8 
7 13 5 12 4 11 3 10 8 
7 13 5 12 4 11 3 10 8 
